Airline,NumFlights,AverageDelay,AverageDelay_CARRIER_DELAY,AverageDelay_WEATHER_DELAY,AverageDelay_NAS_DELAY,AverageDelay_SECURITY_DELAY,AverageDelay_LATE_AIRCRAFT_DELAY,Year,Month
HA,5833,4.05,24.91,0.43,0.24,0.05,10.89,2009,12
MQ,34937,12.67,12.3,6.7,16.8,0.01,20.59,2009,01
MQ,31965,8.56,16.99,2.23,14.97,0.01,17.94,2009,02
MQ,35929,10.54,16.38,3.99,15.13,0.0,19.43,2009,03
MQ,35759,12.59,13.48,6.0,18.52,0.0,23.17,2009,04
MQ,37408,11.56,14.5,4.37,14.94,0.02,21.67,2009,05
MQ,36732,13.24,16.12,4.73,16.04,0.02,21.05,2009,06
MQ,38097,11.36,16.72,2.93,12.45,0.01,22.5,2009,07
MQ,38205,10.88,17.11,3.07,14.03,0.1,22.39,2009,08
MQ,73572,7.47,18.33,3.76,11.63,0.03,18.01,2009,09
MQ,36247,6.12,17.15,2.2,10.3,0.01,16.24,2009,11
MQ,36819,17.32,14.38,6.21,15.24,0.06,24.2,2009,12
NW,22945,9.27,18.27,2.97,18.65,0.03,9.36,2009,01
NW,21950,8.0,18.95,4.96,17.51,0.03,11.28,2009,02
NW,25718,6.75,16.67,3.77,16.57,0.02,8.84,2009,03
NW,24675,7.5,18.85,3.83,14.82,0.04,11.18,2009,04
NW,25086,6.87,17.92,3.38,15.29,0.07,9.08,2009,05
NW,27513,11.66,18.33,5.25,14.97,0.08,14.26,2009,06
NW,29328,10.89,19.55,3.18,13.02,0.06,13.91,2009,07
NW,27098,12.22,20.01,3.32,14.59,0.15,13.61,2009,08
NW,43880,5.87,16.71,1.56,14.46,0.04,8.35,2009,09
NW,21558,5.48,23.37,3.72,10.31,0.06,9.84,2009,11
NW,22649,12.62,20.08,3.32,13.6,0.1,11.66,2009,12
OH,12713,18.37,22.21,13.44,19.95,0.01,2.76,2009,01
OH,11733,9.52,15.88,10.51,22.4,0.03,3.49,2009,02
OH,13537,10.46,18.22,10.1,20.26,0.0,4.53,2009,03
OH,13686,13.4,16.17,12.55,23.88,0.01,3.71,2009,04
OH,14495,13.43,12.18,11.28,24.05,0.02,4.48,2009,05
OH,14085,18.99,16.44,12.78,25.0,0.02,6.75,2009,06
OH,14373,17.26,19.07,11.9,24.18,0.03,7.22,2009,07
OH,13052,16.52,21.9,10.39,21.93,0.02,7.03,2009,08
OH,21364,7.49,20.37,4.16,20.71,0.01,4.25,2009,09
OH,10503,7.44,24.52,4.5,18.02,0.04,5.68,2009,11
OH,11429,16.35,22.99,10.34,19.79,0.27,7.72,2009,12
OO,44443,10.94,10.81,2.32,15.56,0.07,26.32,2009,01
OO,41349,10.1,9.71,1.12,18.46,0.02,30.8,2009,02
OO,46899,8.91,11.54,1.66,15.64,0.05,26.46,2009,03
OO,44568,6.95,9.38,1.0,18.24,0.03,25.23,2009,04
OO,44689,7.12,9.95,0.92,18.48,0.05,25.29,2009,05
OO,47396,10.25,10.04,1.07,16.82,0.06,27.2,2009,06
OO,48953,7.94,11.73,1.02,11.46,0.06,23.63,2009,07
OO,48566,7.85,12.03,0.92,12.16,0.12,24.72,2009,08
OO,90292,6.1,12.2,1.08,11.2,0.05,23.77,2009,09
OO,42208,4.79,13.89,1.57,12.62,0.08,20.29,2009,11
OO,46832,16.33,13.02,1.55,16.11,0.11,28.86,2009,12
UA,31508,11.33,15.71,1.77,16.19,0.01,22.43,2009,01
UA,29896,10.17,13.45,1.04,18.37,0.0,24.56,2009,02
UA,34554,11.2,15.3,1.0,16.15,0.02,27.21,2009,03
UA,31387,11.86,16.3,1.46,17.58,0.0,27.87,2009,04
UA,31798,11.47,14.26,1.88,17.07,0.02,25.49,2009,05
UA,32990,17.12,14.18,2.5,18.86,0.05,31.73,2009,06
UA,33948,12.51,16.1,1.28,13.67,0.0,30.25,2009,07
UA,33622,12.64,17.02,1.57,14.82,0.19,29.62,2009,08
UA,59720,7.48,18.52,0.71,11.58,0.0,25.18,2009,09
UA,27739,5.07,19.38,1.03,12.83,0.0,22.55,2009,11
UA,29110,13.53,13.71,3.31,17.67,0.0,26.49,2009,12
US,35934,8.42,11.92,0.75,19.1,0.07,15.25,2009,01
US,32317,6.28,11.4,0.4,19.85,0.05,12.67,2009,02
US,36136,7.5,11.45,0.87,19.39,0.12,15.35,2009,03
US,34691,7.69,12.04,0.62,19.76,0.06,15.24,2009,04
US,35594,7.47,11.39,1.18,20.48,0.07,13.05,2009,05
US,34774,8.96,12.07,1.96,22.53,0.14,16.21,2009,06
US,35730,8.01,14.34,1.71,19.58,0.13,15.15,2009,07
US,35257,7.79,13.83,2.24,19.9,0.1,15.67,2009,08
US,65058,4.36,14.18,0.43,17.13,0.13,10.83,2009,09
US,33019,4.76,13.93,0.19,17.02,0.09,11.68,2009,11
US,33498,9.89,12.39,2.07,18.34,0.17,15.78,2009,12
WN,96109,9.05,10.5,2.41,7.39,0.12,24.72,2009,01
WN,86491,6.97,10.98,1.66,8.07,0.08,23.43,2009,02
WN,99384,9.94,10.96,2.53,6.84,0.12,28.45,2009,03
WN,96875,10.2,11.48,2.24,7.76,0.08,29.56,2009,04
WN,97696,9.87,11.79,1.85,7.47,0.12,26.1,2009,05
WN,96195,13.93,10.99,3.26,7.7,0.13,30.16,2009,06
WN,99070,11.68,12.07,2.11,6.14,0.09,24.04,2009,07
WN,95673,11.3,13.11,2.45,7.47,0.14,26.76,2009,08
WN,179538,6.91,12.79,1.44,5.67,0.06,21.03,2009,09
WN,89623,5.48,14.27,1.26,6.09,0.04,20.42,2009,11
WN,92293,16.06,12.18,2.15,6.97,0.15,27.58,2009,12
XE,23242,9.06,10.77,2.44,30.46,0.13,12.52,2009,01
XE,21642,10.61,9.41,1.26,38.51,0.09,16.07,2009,02
XE,25291,15.0,12.03,4.02,30.73,0.13,18.16,2009,03
XE,24642,17.4,11.56,6.45,36.42,0.03,21.04,2009,04
XE,25292,10.81,11.36,1.09,30.33,0.05,20.33,2009,05
XE,28195,11.54,14.87,2.16,29.61,0.11,23.11,2009,06
XE,29711,12.16,13.1,4.43,27.26,0.07,21.66,2009,07
XE,29632,9.81,14.67,2.73,26.42,0.19,20.2,2009,08
XE,48792,4.36,9.73,1.47,21.43,0.05,10.56,2009,09
XE,25023,6.29,11.07,0.91,25.82,0.06,15.62,2009,11
XE,27898,15.22,11.23,4.0,21.69,0.2,19.04,2009,12
YV,19418,13.4,32.13,5.07,14.16,0.05,11.03,2009,01
YV,18150,11.19,36.29,2.56,13.96,0.08,8.12,2009,02
YV,21139,13.43,35.43,4.32,15.37,0.16,6.28,2009,03
YV,20421,10.64,35.67,4.23,20.01,0.15,0.25,2009,04
YV,20714,10.13,31.65,4.16,21.61,0.11,0.07,2009,05
YV,21139,16.6,44.05,3.05,20.03,0.07,0.26,2009,06
YV,21792,12.42,41.47,2.8,14.5,0.16,0.24,2009,07
YV,21420,12.42,38.91,3.91,17.44,0.1,0.36,2009,08
YV,39540,7.85,39.88,9.87,10.13,0.14,0.22,2009,09
YV,19573,6.81,37.73,3.33,10.68,0.06,0.08,2009,11
YV,19754,16.68,37.49,8.03,20.56,0.12,0.35,2009,12
9E,21875,10.47,16.76,3.03,15.93,0.08,15.82,2010,01
9E,20404,15.65,18.39,2.46,16.25,0.13,20.77,2010,02
9E,23057,8.06,20.89,3.16,12.86,0.14,17.72,2010,03
9E,21926,6.54,20.11,1.96,13.08,0.03,15.29,2010,04
9E,22423,10.66,15.99,3.54,14.79,0.09,19.13,2010,05
9E,22858,13.59,20.32,2.81,11.99,0.04,23.21,2010,06
9E,23503,12.4,19.98,2.77,11.5,0.05,21.65,2010,07
9E,23513,8.95,20.23,1.89,9.79,0.05,19.51,2010,08
9E,20114,7.35,17.39,1.96,13.1,0.01,19.44,2010,09
9E,20698,6.84,20.71,1.59,11.88,0.03,19.13,2010,10
9E,20307,6.92,20.21,1.35,10.86,0.07,17.28,2010,11
9E,20686,16.47,21.03,2.48,12.84,0.01,22.29,2010,12
AA,46571,10.6,20.12,3.04,13.14,0.29,15.22,2010,01
AA,42303,12.8,20.11,4.42,15.91,0.03,16.49,2010,02
AA,47300,13.76,19.36,4.43,16.3,0.02,18.13,2010,03
AA,44684,9.84,22.57,2.85,13.26,0.04,16.81,2010,04
AA,45522,13.53,17.59,4.27,18.45,0.03,19.76,2010,05
AA,44892,14.69,18.79,4.18,16.52,0.01,20.15,2010,06
AA,46413,12.82,20.86,3.24,13.67,0.02,18.05,2010,07
AA,46360,11.6,24.77,2.99,12.38,0.05,18.12,2010,08
AA,43423,9.02,19.61,3.69,15.28,0.05,15.34,2010,09
AA,44674,7.7,19.99,3.42,15.6,0.05,15.25,2010,10
AA,43165,7.82,19.05,2.27,13.79,0.01,14.2,2010,11
AA,45656,10.93,19.13,3.62,16.31,0.15,15.43,2010,12
AS,10532,6.61,12.66,2.31,16.93,0.02,15.38,2010,01
AS,9567,6.45,13.99,3.49,14.15,0.1,15.92,2010,02
AS,10932,6.15,16.86,1.51,13.47,0.31,14.4,2010,03
AS,10696,4.35,14.89,1.01,13.14,0.14,15.05,2010,04
AS,11553,4.08,16.59,1.03,13.22,0.04,13.04,2010,05
AS,12299,5.46,16.43,1.43,12.44,0.04,15.9,2010,06
AS,12903,6.08,18.47,2.0,10.21,0.27,18.86,2010,07
AS,12810,5.54,16.02,1.59,11.26,0.34,16.57,2010,08
AS,11479,4.18,14.87,1.49,12.26,0.09,14.43,2010,09
AS,11622,4.9,13.1,1.74,14.4,0.27,13.83,2010,10
AS,11086,7.84,14.01,2.6,14.6,0.08,18.06,2010,11
AS,11471,9.17,14.24,1.47,14.3,0.12,18.72,2010,12
B6,16250,16.33,18.78,0.84,18.51,0.1,28.24,2010,01
B6,15303,17.83,16.87,3.85,16.76,0.19,23.83,2010,02
B6,17747,17.66,21.35,0.3,16.77,0.16,24.29,2010,03
B6,16846,9.37,20.16,1.93,13.96,0.09,19.5,2010,04
B6,16121,10.47,19.73,1.4,21.92,0.09,16.11,2010,05
B6,16395,12.38,21.92,1.51,18.06,0.01,21.14,2010,06
B6,17806,15.69,22.65,1.43,16.02,0.03,22.52,2010,07
B6,17708,14.55,22.61,1.05,15.6,0.07,21.63,2010,08
B6,15841,12.25,21.81,1.72,21.02,0.03,18.47,2010,09
B6,16538,12.75,20.79,0.46,18.22,0.07,18.67,2010,10
B6,16767,10.46,19.65,0.17,13.09,0.09,16.03,2010,11
B6,18112,22.9,24.95,1.21,15.54,0.08,24.22,2010,12
CO,19651,10.37,14.63,1.64,19.69,2.69,12.09,2010,01
CO,18438,9.4,11.56,3.06,18.23,0.45,9.61,2010,02
CO,20457,11.85,13.47,1.6,20.97,0.47,11.92,2010,03
CO,19460,6.78,14.8,0.79,16.43,0.4,7.44,2010,04
CO,19927,10.0,16.9,2.7,22.71,0.13,12.05,2010,05
CO,20283,9.95,14.03,2.0,19.28,0.26,12.01,2010,06
CO,20881,13.77,14.91,3.2,21.12,0.21,15.45,2010,07
CO,20601,8.12,17.97,2.24,18.6,0.3,11.45,2010,08
CO,18585,6.55,14.86,2.82,23.14,0.08,9.43,2010,09
CO,20092,6.79,13.08,0.81,23.93,0.09,7.66,2010,10
CO,19778,7.34,12.89,0.49,20.05,0.13,7.57,2010,11
CO,21118,16.9,17.74,4.86,19.23,0.16,17.29,2010,12
DL,56998,10.11,21.03,4.49,17.71,0.06,13.67,2010,01
DL,52920,12.28,20.29,4.11,15.39,0.08,16.8,2010,02
DL,60302,11.67,21.27,2.91,15.88,0.03,17.76,2010,03
DL,59251,8.08,20.38,1.77,14.56,0.02,13.56,2010,04
DL,61358,12.74,18.37,3.02,17.55,0.01,16.63,2010,05
DL,64016,16.71,20.73,2.62,14.41,0.02,18.79,2010,06
DL,65833,18.09,22.29,2.66,14.31,0.03,20.87,2010,07
DL,65900,12.47,19.64,1.84,15.03,0.01,17.59,2010,08
DL,61719,8.48,16.42,1.03,15.28,0.01,14.1,2010,09
DL,63436,9.64,18.14,2.25,16.32,0.01,17.53,2010,10
DL,60300,9.18,15.43,1.38,15.38,0.0,16.67,2010,11
DL,60940,14.58,18.22,2.6,15.48,0.01,18.58,2010,12
EV,24385,11.71,19.81,3.2,15.49,0.1,22.15,2010,01
EV,23305,16.41,18.88,4.04,12.47,0.03,32.52,2010,02
EV,26534,14.01,19.84,2.71,16.05,0.06,29.08,2010,03
EV,24529,9.05,24.88,2.44,13.39,0.1,27.79,2010,04
EV,25978,13.45,22.83,3.27,14.19,0.03,26.95,2010,05
EV,27480,14.34,23.18,3.63,14.02,0.02,26.53,2010,06
EV,28967,15.72,22.75,4.0,15.14,0.02,29.87,2010,07
EV,29100,13.22,23.53,2.48,13.71,0.03,25.87,2010,08
EV,26602,11.26,26.35,1.3,7.31,0.06,27.0,2010,09
EV,28157,12.93,23.93,2.81,9.67,0.03,29.29,2010,10
EV,26901,11.91,24.0,2.14,8.81,0.02,27.95,2010,11
EV,27983,19.15,23.75,4.66,8.82,0.04,31.31,2010,12
F9,6450,8.19,8.57,0.33,15.72,0.0,23.0,2010,01
F9,6152,8.12,8.14,0.3,14.0,0.0,20.03,2010,02
F9,6876,11.77,12.29,1.02,12.48,0.0,27.09,2010,03
F9,6666,6.82,10.72,0.91,12.56,0.0,18.8,2010,04
F9,7143,10.76,10.14,1.8,17.85,0.0,24.76,2010,05
F9,7247,13.54,13.38,1.43,12.19,0.0,28.61,2010,06
F9,7507,12.85,11.72,1.14,12.98,0.0,29.07,2010,07
F9,7526,8.44,9.84,0.4,11.81,0.0,25.52,2010,08
F9,6817,7.07,12.36,0.6,11.24,0.0,23.25,2010,09
F9,6805,7.54,9.87,0.34,12.82,0.0,25.77,2010,10
F9,6321,7.3,8.34,0.36,12.73,0.0,18.08,2010,11
F9,6456,10.8,10.86,0.52,14.05,0.0,21.42,2010,12
FL,19936,9.93,11.03,0.59,14.99,0.0,25.54,2010,01
FL,18447,12.82,11.06,2.3,15.03,0.0,27.55,2010,02
FL,21169,12.57,11.05,0.53,16.9,0.0,32.82,2010,03
FL,20560,6.81,11.94,0.27,13.59,0.0,30.15,2010,04
FL,21433,8.93,10.05,0.46,18.42,0.0,30.62,2010,05
FL,21794,11.07,8.14,1.15,19.0,0.0,27.75,2010,06
FL,22526,12.8,9.9,0.4,18.88,0.0,35.2,2010,07
FL,22267,10.75,9.01,0.9,18.32,0.0,29.61,2010,08
FL,19078,4.97,8.56,0.12,22.36,0.0,23.82,2010,09
FL,20400,6.07,12.07,0.2,21.84,0.0,30.44,2010,10
FL,20407,5.91,10.02,0.02,15.97,0.0,26.36,2010,11
FL,20827,8.02,8.98,1.85,15.99,0.0,21.81,2010,12
HA,5734,4.31,27.72,0.16,1.64,0.02,9.66,2010,01
HA,5094,3.2,21.73,0.0,0.16,0.02,9.22,2010,02
HA,5453,4.31,32.61,0.0,0.06,0.0,10.43,2010,03
HA,5333,3.31,40.02,0.05,0.21,0.0,10.24,2010,04
HA,5511,2.11,20.76,2.55,0.02,0.0,10.5,2010,05
HA,5864,2.87,33.4,0.0,0.2,0.28,10.28,2010,06
HA,6392,3.48,46.34,0.0,0.25,0.08,11.38,2010,07
HA,6349,2.72,47.74,0.0,0.15,0.2,7.38,2010,08
HA,5484,2.39,38.68,0.41,0.04,0.63,11.88,2010,09
HA,5529,2.57,40.06,0.22,0.15,0.0,7.84,2010,10
HA,5328,2.79,26.63,0.69,0.08,0.14,7.59,2010,11
HA,5578,6.14,28.1,0.27,0.19,0.07,19.36,2010,12
MQ,36742,11.73,14.56,3.51,13.25,0.21,20.18,2010,01
MQ,33320,11.74,13.29,4.54,15.13,0.04,20.26,2010,02
MQ,37089,10.31,15.02,4.78,15.8,0.01,20.41,2010,03
MQ,35991,9.12,16.41,2.72,13.94,0.0,19.79,2010,04
MQ,36660,14.14,15.64,4.46,16.03,0.02,22.08,2010,05
MQ,35738,17.53,15.58,4.05,16.64,0.02,24.41,2010,06
MQ,37066,15.16,17.31,3.88,12.82,0.02,21.72,2010,07
MQ,37697,10.57,18.61,3.08,12.67,0.01,19.16,2010,08
MQ,36524,8.39,16.1,4.36,13.46,0.0,17.86,2010,09
MQ,37766,6.62,17.26,4.74,14.67,0.03,15.96,2010,10
MQ,35778,7.49,15.45,3.83,14.69,0.02,16.36,2010,11
MQ,36605,11.93,16.6,4.8,15.36,0.27,18.26,2010,12
OH,11035,13.06,27.92,7.51,22.36,0.01,2.3,2010,01
OH,10755,16.11,29.71,11.83,18.44,0.04,1.91,2010,02
OH,12364,11.2,23.82,7.4,21.05,0.02,2.06,2010,03
OH,11774,8.31,27.96,3.37,17.71,0.02,2.43,2010,04
OH,11570,16.03,27.63,6.02,20.72,0.05,3.7,2010,05
OH,11965,18.58,34.61,4.1,18.9,0.06,4.89,2010,06
OH,13035,15.6,27.64,10.17,17.09,0.01,4.76,2010,07
OH,12949,10.66,25.99,6.47,15.22,0.04,4.69,2010,08
OH,13541,8.93,24.04,5.48,16.46,0.0,5.31,2010,09
OH,13497,8.61,21.74,6.26,17.17,0.02,5.11,2010,10
OH,12518,7.27,23.76,3.91,15.15,0.02,6.66,2010,11
OH,12630,15.67,24.64,8.26,17.4,0.04,7.44,2010,12
OO,48280,12.62,11.89,1.57,14.47,0.06,27.64,2010,01
OO,45383,11.64,10.49,1.17,15.67,0.08,26.73,2010,02
OO,51541,8.97,12.43,1.59,14.8,0.07,27.61,2010,03
OO,49204,8.12,12.0,1.22,15.79,0.06,25.68,2010,04
OO,50360,9.41,12.39,1.24,16.41,0.08,27.81,2010,05
OO,51834,12.62,13.39,1.32,14.45,0.05,30.56,2010,06
OO,53036,10.09,11.74,1.46,11.13,0.06,25.6,2010,07
OO,53135,10.35,11.86,1.05,12.06,0.09,28.48,2010,08
OO,48873,7.29,13.44,1.03,12.08,0.08,23.16,2010,09
OO,49958,9.44,14.18,0.95,11.87,0.03,28.85,2010,10
OO,47763,10.26,12.75,1.33,12.38,0.04,24.62,2010,11
OO,50253,19.26,12.75,1.72,14.34,0.08,32.79,2010,12
UA,27744,9.48,14.55,1.36,17.5,0.01,22.15,2010,01
UA,26091,9.64,13.37,1.91,16.09,0.0,23.62,2010,02
UA,29704,9.59,13.71,1.0,17.18,0.0,24.9,2010,03
UA,28178,7.39,15.42,1.5,15.59,0.33,24.21,2010,04
UA,28874,10.46,14.93,2.68,19.8,0.0,28.09,2010,05
UA,29314,13.7,14.17,2.24,19.35,0.0,30.38,2010,06
UA,30386,11.32,16.4,2.7,14.91,0.0,30.19,2010,07
UA,30637,9.71,14.62,1.49,15.52,0.0,27.82,2010,08
UA,28072,5.96,14.76,1.43,18.56,0.11,19.27,2010,09
UA,29144,6.16,14.33,0.76,18.64,0.0,20.53,2010,10
UA,27318,5.28,14.69,0.66,17.58,0.0,18.88,2010,11
UA,27619,10.03,14.0,1.58,19.82,0.0,21.43,2010,12
US,33749,7.7,14.54,0.73,17.64,0.22,14.15,2010,01
US,30574,8.14,12.87,2.07,17.87,0.17,15.12,2010,02
US,34344,8.0,13.27,0.46,17.82,0.12,15.67,2010,03
US,33130,4.67,14.88,0.47,15.71,0.3,11.69,2010,04
US,34100,5.87,12.31,1.16,19.09,0.11,13.2,2010,05
US,33947,7.62,14.96,2.26,17.82,0.15,15.95,2010,06
US,34869,8.36,14.4,2.88,18.25,0.26,18.08,2010,07
US,34914,7.12,15.37,2.99,16.52,0.14,17.43,2010,08
US,33863,4.96,13.85,1.44,18.21,0.09,11.79,2010,09
US,35223,6.16,12.36,0.87,18.08,0.12,13.37,2010,10
US,33898,4.63,11.72,0.25,15.96,0.19,9.78,2010,11
US,34500,9.24,15.77,2.01,18.12,0.17,14.48,2010,12
WN,90103,11.4,12.22,2.2,7.23,0.18,24.35,2010,01
WN,82509,10.5,12.13,2.42,7.48,0.13,25.05,2010,02
WN,95409,12.04,13.55,1.58,5.75,0.14,24.99,2010,03
WN,94136,9.18,13.45,1.45,4.94,0.19,22.47,2010,04
