Airline,NumFlights,AverageDelay,AverageDelay_CARRIER_DELAY,AverageDelay_WEATHER_DELAY,AverageDelay_NAS_DELAY,AverageDelay_SECURITY_DELAY,AverageDelay_LATE_AIRCRAFT_DELAY,Year,Month
9E,22287,8.3,15.55,2.47,17.25,0.02,15.5,2009,01
9E,20200,5.67,15.9,3.62,16.95,0.03,15.15,2009,02
9E,22575,7.01,19.59,2.64,14.51,0.04,16.65,2009,03
9E,22039,6.02,17.9,2.98,15.48,0.02,13.88,2009,04
9E,22023,5.39,15.92,2.51,15.72,0.05,12.91,2009,05
9E,22381,9.21,20.96,3.51,12.92,0.09,15.9,2009,06
9E,23889,10.25,18.03,2.54,13.81,0.02,18.89,2009,07
9E,23063,9.92,18.65,2.43,14.36,0.04,18.25,2009,08
9E,41650,5.84,17.04,2.85,15.82,0.02,13.02,2009,09
9E,20625,4.68,20.02,2.57,12.52,0.04,16.66,2009,11
9E,21537,10.49,16.54,2.2,15.61,0.03,15.98,2009,12
AA,47739,12.8,17.74,6.28,15.3,0.02,18.01,2009,01
AA,42915,9.79,21.01,1.47,16.69,0.01,15.73,2009,02
AA,47819,12.41,21.21,2.1,17.7,0.01,17.69,2009,03
AA,45605,15.53,18.18,2.93,21.59,0.01,22.94,2009,04
AA,46622,12.23,17.99,3.16,19.17,0.02,18.85,2009,05
AA,46140,18.45,21.66,5.54,16.68,0.02,21.21,2009,06
AA,47674,16.3,21.47,3.96,13.94,0.02,20.8,2009,07
AA,47470,13.03,19.6,4.48,13.29,0.1,19.56,2009,08
AA,88270,8.13,23.33,3.63,13.51,0.02,16.32,2009,09
AA,43737,7.18,25.12,0.97,11.48,0.01,13.98,2009,11
AA,46065,16.15,17.99,6.15,17.2,0.08,19.19,2009,12
AS,11212,12.51,14.6,2.84,14.29,0.08,18.21,2009,01
AS,10299,9.82,12.73,1.89,15.41,0.18,16.04,2009,02
AS,11444,11.84,11.58,3.13,14.24,0.15,18.1,2009,03
AS,11060,6.59,14.63,0.88,13.82,0.09,13.44,2009,04
AS,11796,6.26,14.53,0.56,13.11,0.15,14.07,2009,05
AS,12138,6.87,14.57,1.01,11.84,0.14,14.39,2009,06
AS,12786,6.65,20.01,1.18,9.51,0.17,15.9,2009,07
AS,12652,6.58,15.03,2.15,10.57,0.23,13.69,2009,08
AS,22516,4.47,17.98,0.81,11.53,0.08,11.98,2009,09
AS,10483,5.6,16.84,2.29,11.67,0.05,16.08,2009,11
AS,10754,8.42,15.29,3.64,14.42,0.09,18.15,2009,12
B6,16261,12.55,14.55,1.06,18.64,0.08,20.07,2009,01
B6,15087,10.6,15.93,0.28,21.17,0.05,21.55,2009,02
B6,17149,11.6,15.74,1.36,23.6,0.03,21.02,2009,03
B6,16899,15.91,14.87,2.44,28.12,0.04,21.91,2009,04
B6,16218,12.36,16.34,0.45,25.08,0.04,17.37,2009,05
B6,16504,18.36,17.66,1.8,29.85,0.01,22.94,2009,06
B6,17480,17.74,20.67,1.13,28.26,0.1,24.79,2009,07
B6,17375,14.85,20.2,0.85,22.29,0.11,22.25,2009,08
B6,28992,5.89,32.62,0.18,15.99,0.02,2.83,2009,09
B6,15370,6.15,15.98,0.56,18.09,0.0,16.92,2009,11
B6,16774,18.46,17.61,1.22,16.65,0.11,23.6,2009,12
CO,21298,10.91,12.32,2.79,23.87,0.28,9.68,2009,01
CO,19868,12.4,10.9,2.26,32.56,0.16,10.64,2009,02
CO,22952,13.57,11.75,2.27,26.8,0.12,13.02,2009,03
CO,22040,19.93,14.49,4.96,32.86,0.15,19.2,2009,04
CO,21950,9.49,11.77,1.52,29.78,0.07,9.35,2009,05
CO,22171,12.78,12.24,3.19,31.3,0.14,15.23,2009,06
CO,23193,13.72,15.06,2.91,24.31,0.2,16.77,2009,07
CO,22905,11.67,16.83,2.27,23.39,0.32,15.21,2009,08
CO,38474,4.98,13.83,0.74,19.59,0.16,6.59,2009,09
CO,20218,8.83,17.47,0.92,19.85,0.08,13.32,2009,11
CO,21377,16.18,14.08,4.39,19.22,0.4,14.42,2009,12
DL,36066,7.94,10.77,1.79,18.65,0.02,12.62,2009,01
DL,32600,6.47,10.67,1.63,21.88,0.02,10.93,2009,02
DL,36764,11.21,12.04,2.41,21.27,0.0,16.48,2009,03
DL,35184,11.61,14.97,2.95,22.56,0.01,18.07,2009,04
DL,35230,8.31,10.2,0.88,20.45,0.0,12.35,2009,05
DL,35467,12.11,15.76,1.76,22.56,0.02,16.46,2009,06
DL,37145,13.22,16.9,2.2,21.28,0.02,19.73,2009,07
DL,37146,10.37,15.49,1.41,19.49,0.0,15.19,2009,08
DL,69376,8.72,16.65,2.41,21.47,0.03,14.99,2009,09
DL,35778,6.16,15.05,0.45,20.03,0.01,10.46,2009,11
DL,35280,10.69,14.46,1.94,19.23,0.06,13.99,2009,12
EV,23307,13.72,13.56,2.34,13.94,0.03,21.66,2009,01
EV,21452,9.88,14.86,1.86,15.84,0.02,19.49,2009,02
EV,25421,21.94,13.15,2.61,17.64,0.01,31.96,2009,03
EV,24770,17.07,15.05,4.75,17.93,0.01,27.74,2009,04
EV,25124,13.55,12.98,1.74,15.73,0.01,21.59,2009,05
EV,27822,15.17,18.76,2.71,13.05,0.03,25.08,2009,06
EV,29197,19.05,14.09,3.31,18.71,0.02,30.23,2009,07
EV,27952,16.83,14.33,1.97,16.32,0.02,27.0,2009,08
EV,45550,14.06,14.15,2.2,19.55,0.01,21.0,2009,09
EV,24584,9.8,14.79,1.11,16.59,0.0,18.1,2009,11
EV,23517,15.15,14.63,2.85,19.2,0.07,25.34,2009,12
F9,7197,9.91,13.4,0.83,19.27,0.0,10.62,2009,01
F9,6524,6.36,11.65,0.26,16.45,0.0,9.14,2009,02
F9,7291,9.83,8.59,2.21,14.41,0.0,24.16,2009,03
F9,7106,9.76,9.8,1.43,13.81,0.0,23.39,2009,04
F9,7711,7.81,8.93,0.92,13.74,0.0,19.78,2009,05
F9,7658,14.49,8.03,1.61,15.15,0.0,25.06,2009,06
F9,7928,12.09,10.23,1.02,13.29,0.0,24.74,2009,07
F9,7861,7.61,9.17,1.21,12.1,0.0,20.76,2009,08
F9,14466,5.33,11.19,0.39,10.15,0.0,17.66,2009,09
F9,6671,6.21,12.92,0.0,10.45,0.0,20.07,2009,11
F9,6589,14.01,8.86,0.68,13.38,0.0,23.78,2009,12
FL,19450,8.94,8.8,0.7,15.08,0.0,20.84,2009,01
FL,18314,8.79,8.86,0.17,16.25,0.0,25.67,2009,02
FL,21283,13.52,6.89,1.42,18.7,0.0,30.0,2009,03
FL,20510,12.36,6.98,1.14,19.52,0.0,33.96,2009,04
FL,21264,11.74,7.54,0.18,15.9,0.0,26.72,2009,05
FL,22161,14.43,9.13,0.51,18.53,0.0,33.86,2009,06
FL,23195,17.83,10.68,0.2,16.15,0.0,35.3,2009,07
FL,22750,13.44,8.64,0.51,15.29,0.0,29.44,2009,08
FL,38846,8.85,9.04,0.32,18.52,0.0,28.02,2009,09
FL,20920,8.42,7.66,0.02,13.18,0.0,21.7,2009,11
FL,21261,16.46,10.29,0.29,13.14,0.0,27.38,2009,12
HA,6273,4.02,40.68,0.26,0.68,0.26,6.42,2009,01
HA,5658,4.26,43.94,0.02,0.12,0.0,9.65,2009,02
HA,6137,3.14,36.11,0.64,0.15,0.1,6.15,2009,03
HA,5876,2.42,31.24,0.13,0.14,0.06,6.11,2009,04
HA,6122,2.97,32.83,0.08,0.52,0.05,7.1,2009,05
HA,6133,2.1,31.78,0.0,0.13,0.01,6.17,2009,06
HA,6645,2.96,35.66,0.52,0.13,0.2,8.82,2009,07
HA,6602,1.87,33.21,0.08,0.1,0.05,5.53,2009,08
HA,11808,2.55,36.66,0.0,0.43,0.2,7.54,2009,09
HA,5661,2.9,28.56,0.79,0.15,0.06,10.51,2009,11
