IATA_CODE,AIRPORT,TotalFlights,CancellationRate,AverageFlightsPerDay,AverageDelay,AverageArrDelay,AverageDelay_CARRIER_DELAY,AverageDelay_WEATHER_DELAY,AverageDelay_NAS_DELAY,AverageDelay_SECURITY_DELAY,AverageDelay_LATE_AIRCRAFT_DELAY
ATW,Appleton International Airport,37693,3.173,10.5,11.15,12.56,15.95,3.44,18.53,0.01,28.93
AUS,Austin-Bergstrom International Airport,468601,0.9563,130.53,10.88,10.71,15.19,1.96,13.68,0.08,26.73
AVL,Asheville Regional Airport,45112,2.3763,12.57,14.78,16.12,16.75,3.23,21.19,0.03,29.23
AVP,Wilkes-Barre/Scranton International Airport,19388,2.7904,5.4,13.05,14.23,24.62,5.22,19.93,0.03,25.5
AZO,Kalamazoo/Battle Creek International Airport,21236,4.0121,5.92,9.69,11.13,20.59,4.71,18.35,0.02,26.56
BDL,Bradley International Airport,226677,1.844,63.14,9.83,10.41,16.01,2.57,17.07,0.05,22.81
BET,Bethel Airport,9767,2.8361,2.72,6.81,7.53,9.4,2.09,4.94,1.12,31.21
BFL,Meadows Field,31337,1.6562,8.73,10.58,11.24,16.59,1.04,18.2,0.07,33.18
BGM,Greater Binghamton Airport,5504,2.1076,1.53,12.27,13.12,31.56,6.3,13.91,0.02,32.96
BGR,Bangor International Airport,12354,3.4807,3.44,14.91,16.95,18.47,4.9,33.54,0.02,17.83
BHM,Birmingham-Shuttlesworth International Airport,164557,1.4548,45.84,11.66,12.02,17.55,2.13,14.58,0.08,27.86
BIL,Billings Logan International Airport,35041,0.8704,9.76,6.81,7.61,18.46,2.73,13.01,0.02,29.61
BIS,Bismarck Municipal Airport,30998,1.9582,8.63,10.56,11.49,19.92,2.97,15.35,0.12,30.26
BJI,Bemidji Regional Airport,5133,1.5391,1.43,8.79,9.66,37.19,4.14,11.62,0.15,29.87
BLI,Bellingham International Airport,7981,0.5638,2.22,7.7,9.02,19.91,6.68,14.29,0.46,20.77
BMI,Central Illinois Regional Airport at Bloomington-Normal,31414,2.639,8.75,12.1,13.5,17.54,3.24,16.45,0.03,30.54
BNA,Nashville International Airport,564660,1.4573,157.29,12.16,12.0,15.2,2.28,13.09,0.06,26.18
BOI,Boise Airport (Boise Air Terminal),137056,0.6676,38.18,9.69,10.04,16.84,1.57,15.87,0.02,27.4
BOS,Gen. Edward Lawrence Logan International Airport,1171494,2.1959,326.32,12.39,13.19,16.78,2.34,19.45,0.09,21.19
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),4701,4.5735,1.31,16.3,18.05,26.92,2.19,12.82,0.01,33.55
BQK,Brunswick Golden Isles Airport,9659,1.9257,2.69,11.14,13.79,18.37,2.66,16.39,0.03,26.95
BQN,Rafael Hernández Airport,15706,1.891,4.37,13.57,12.93,10.21,0.87,8.21,0.18,40.34
BRD,Brainerd Lakes Regional Airport,4537,1.9616,1.26,9.24,11.23,21.98,6.18,14.33,0.17,24.59
BRO,Brownsville/South Padre Island International Airport,22686,2.5699,6.32,10.36,10.96,18.15,4.77,15.04,0.03,36.03
BRW,Wiley Post-Will Rogers Memorial Airport,8575,2.5306,2.39,9.93,10.28,6.13,2.42,4.89,0.69,35.53
BTM,Bert Mooney Airport,7164,2.4986,2.0,5.65,6.32,24.22,8.68,13.32,0.0,33.38
BTR,Baton Rouge Metropolitan Airport,80276,2.3083,22.36,14.85,15.85,29.72,3.95,12.67,0.03,26.74
BTV,Burlington International Airport,50895,3.5819,14.18,15.31,16.43,16.65,2.74,27.49,0.03,24.77
BUF,Buffalo Niagara International Airport,216565,1.9698,60.32,11.64,12.14,15.99,2.48,19.98,0.03,26.08
BUR,Bob Hope Airport (Hollywood Burbank Airport),247125,1.7315,68.84,9.15,8.88,8.96,1.23,12.75,0.06,29.55
BWI,Baltimore-Washington International Airport,1003452,1.6108,279.51,13.04,12.58,18.12,2.21,11.87,0.12,22.51
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),42939,0.8244,11.96,9.5,10.37,17.46,3.05,20.57,0.03,26.48
CAE,Columbia Metropolitan Airport,67373,2.4209,18.77,13.95,15.08,24.76,2.87,17.93,0.01,24.45
CAK,Akron-Canton Regional Airport,75432,1.799,21.01,11.56,12.95,15.7,2.11,22.67,0.02,25.53
CDC,Cedar City Regional Airport,6343,0.7252,1.77,5.85,6.89,9.9,0.88,10.13,0.0,31.4
CDV,Merle K. (Mudhole) Smith Airport,7229,1.494,2.01,8.45,8.92,7.91,1.16,5.36,1.16,40.29
CEC,Del Norte County Airport (Jack McNamara Field),6199,6.5817,1.73,28.86,29.34,3.61,0.51,33.97,0.0,41.91
CHA,Chattanooga Metropolitan Airport (Lovell Field),49253,1.8375,13.72,13.63,14.91,20.4,3.1,18.82,0.01,27.4
CHO,Charlottesville-Albemarle Airport,22259,3.1673,6.2,15.87,16.79,27.27,3.46,16.28,0.04,34.4
CHS,Charleston International Airport/Charleston AFB,147881,2.4608,41.19,12.68,13.21,15.7,2.11,21.82,0.07,26.84
CID,The Eastern Iowa Airport,69536,2.8618,19.37,12.75,14.0,16.83,3.7,16.02,0.02,31.05
CIU,Chippewa County International Airport,3655,2.7086,1.02,15.05,16.33,35.42,13.25,10.93,0.24,31.3
CLD,McClellan-Palomar Airport,14274,2.0597,3.98,7.53,8.5,5.09,1.99,7.85,0.02,34.76
CLE,Cleveland Hopkins International Airport,447494,1.7665,124.65,11.05,11.78,18.09,2.13,20.91,0.04,21.11
CLL,Easterwood Airport,16758,3.1507,4.67,11.01,11.63,22.7,4.21,13.83,0.1,35.9
CLT,Charlotte Douglas International Airport,1334522,1.4521,371.73,10.7,11.94,17.31,2.52,15.54,0.17,17.36
CMH,Port Columbus International Airport,291251,1.8671,81.13,11.79,12.53,17.46,3.37,19.12,0.04,23.51
CMI,University of Illinois - Willard Airport,18690,3.9861,5.21,12.21,14.14,27.93,7.51,21.36,0.0,16.53
CMX,Houghton County Memorial Airport,6880,7.0203,1.92,16.34,18.39,25.6,7.16,25.9,0.82,33.62
CNY,Canyonlands Field,1147,0.6975,0.32,5.23,5.53,5.38,2.72,16.07,0.0,40.48
COD,Yellowstone Regional Airport,9400,2.3617,2.62,8.72,10.31,19.52,5.85,14.06,0.1,23.67
COS,City of Colorado Springs Municipal Airport,103270,1.5484,28.77,12.34,13.48,25.91,3.73,16.69,0.05,21.3
COU,Columbia Regional Airport,8026,2.7411,2.24,15.09,17.1,24.99,7.25,18.65,0.16,25.55
CPR,Natrona County International Airport,18587,1.6732,5.18,6.97,8.17,10.74,4.8,16.05,0.04,27.73
CRP,Corpus Christi International Airport,59088,2.327,16.46,10.38,10.92,12.41,5.1,10.69,0.04,34.29
CRW,Yeager Airport,34103,3.0672,9.5,15.14,16.34,18.07,3.78,17.47,0.04,30.67
CSG,Columbus Metropolitan Airport,14940,1.9143,4.16,12.42,13.69,17.62,2.94,11.94,0.07,33.88
CVG,Cincinnati/Northern Kentucky International Airport,327569,2.0161,91.24,11.8,13.17,19.25,2.91,21.38,0.03,19.05
CWA,Central Wisconsin Airport,19496,4.0778,5.43,12.67,14.29,14.8,4.33,21.55,0.04,30.55
DAB,Daytona Beach International Airport,20515,1.204,5.71,11.15,12.1,19.82,3.64,18.27,0.11,25.45
DAL,Dallas Love Field,554886,1.3552,154.56,12.81,12.03,15.74,2.19,7.47,0.15,23.78
DAY,James M. Cox Dayton International Airport,111139,2.5725,30.96,11.87,13.2,16.68,2.72,20.5,0.01,27.02
DBQ,Dubuque Regional Airport,5643,5.529,1.57,11.34,13.03,13.83,8.21,22.29,0.0,29.02
DCA,Ronald Reagan Washington National Airport,814016,2.7675,226.75,10.88,12.39,14.87,3.0,19.79,0.05,24.53
DEN,Denver International Airport,2300550,1.0314,640.82,12.61,12.59,16.53,2.04,12.55,0.03,22.89
DFW,Dallas/Fort Worth International Airport,2546075,1.9891,709.21,13.12,13.72,20.53,4.55,10.95,0.04,19.32
DHN,Dothan Regional Airport,13585,1.8771,3.78,13.59,15.22,18.66,1.75,15.1,0.04,34.2
DIK,Dickinson Theodore Roosevelt Regional Airport,3488,3.1537,0.97,11.99,15.09,22.13,7.29,23.33,1.47,18.26
DLG,Dillingham Airport,799,1.0013,0.22,9.61,10.5,9.32,0.53,6.9,3.77,26.0
DLH,Duluth International Airport,23439,3.2723,6.53,11.99,13.53,17.27,4.75,22.49,0.06,30.61
DRO,Durango-La Plata County Airport,25709,2.1821,7.16,10.56,11.69,18.39,5.5,13.55,0.01,28.44
DSM,Des Moines International Airport,117076,2.208,32.61,12.18,13.32,16.65,3.42,16.98,0.06,28.34
DTW,Detroit Metropolitan Airport,1290013,1.2471,359.34,11.19,11.88,22.84,3.29,16.54,0.07,16.03
DVL,Devils Lake Regional Airport,2761,4.8171,0.77,15.77,14.81,42.2,13.93,12.56,0.11,30.45
EAU,Chippewa Valley Regional Airport,6673,3.9862,1.86,13.17,15.09,16.9,3.02,27.77,0.06,32.7
ECP,Northwest Florida Beaches International Airport,43986,1.2413,12.25,10.89,10.99,16.18,3.75,11.32,0.0,35.01
EGE,Eagle County Regional Airport,17986,3.0135,5.01,17.39,17.28,22.01,7.31,16.84,0.05,43.1
EKO,Elko Regional Airport,9753,1.7533,2.72,5.29,6.25,18.32,4.84,10.46,0.28,26.88
ELM,Elmira/Corning Regional Airport,12936,1.6388,3.6,10.68,11.43,22.25,4.68,14.45,0.01,27.02
ELP,El Paso International Airport,174476,1.0523,48.6,10.36,10.19,15.65,2.29,8.82,0.05,30.67
ERI,Erie International Airport,7938,2.9352,2.21,11.48,13.52,14.42,3.98,20.72,0.01,28.95
ESC,Delta County Airport,3443,3.1078,0.96,14.4,13.95,32.12,5.6,10.75,0.09,54.28
EUG,Eugene Airport (Mahlon Sweet Field),46435,1.8757,12.93,12.67,13.57,12.04,1.18,28.1,0.05,29.34
EVV,Evansville Regional Airport,37703,2.7133,10.5,11.86,13.32,18.31,4.29,19.36,0.02,28.51
EWN,Coastal Carolina Regional Airport (Craven County Regional),9517,2.3747,2.65,11.94,12.63,21.25,2.56,11.48,0.02,35.46
EWR,Newark Liberty International Airport,1182327,3.1172,329.34,16.95,16.89,18.98,2.62,15.49,0.11,27.02
EYW,Key West International Airport,24944,1.5435,6.95,10.7,10.5,19.45,5.58,12.37,0.08,30.42
FAI,Fairbanks International Airport,37109,0.8003,10.34,7.08,7.57,20.17,2.7,8.71,0.1,23.05
FAR,Hector International Airport,51743,2.553,14.41,11.62,13.05,17.85,4.03,19.25,0.04,26.59
FAT,Fresno Yosemite International Airport,104671,1.1035,29.16,12.22,12.85,25.4,1.36,16.75,0.11,23.55
FAY,Fayetteville Regional Airport,27220,2.1675,7.58,13.74,14.89,19.27,3.92,13.26,0.04,33.5
FCA,Glacier Park International Airport,21999,0.8364,6.13,7.08,7.94,18.97,2.79,15.42,0.06,26.97
FLG,Flagstaff Pulliam Airport,18084,3.0524,5.04,6.45,7.28,20.48,4.17,11.52,0.08,25.13
FLL,Fort Lauderdale-Hollywood International Airport,737310,1.2166,205.38,13.82,13.76,17.58,2.3,18.68,0.21,22.4
FNT,Bishop International Airport,46237,1.5983,12.88,9.64,10.69,17.35,3.52,17.11,0.05,26.33
FSD,Sioux Falls Regional Airport,58066,2.5712,16.17,13.24,14.7,18.7,4.97,18.42,0.05,28.35
FSM,Fort Smith Regional Airport,18344,2.5894,5.11,10.32,11.52,20.98,5.23,10.97,0.01,32.49
FWA,Fort Wayne International Airport,49672,2.6957,13.84,13.48,14.64,26.93,3.11,16.61,0.03,27.8
GCC,Gillette-Campbell County Airport,13047,2.2227,3.63,8.11,9.54,23.46,4.34,16.03,0.03,23.03
GCK,Garden City Regional Airport,4071,2.702,1.13,13.77,15.18,39.15,11.46,13.13,0.0,23.52
GEG,Spokane International Airport,110508,0.6805,30.78,7.55,7.87,17.19,1.62,10.88,0.02,25.0
GFK,Grand Forks International Airport,14921,2.2452,4.16,8.13,9.24,21.74,4.77,13.44,0.07,27.17
GGG,East Texas Regional Airport,5431,4.2349,1.51,11.16,12.94,16.03,4.24,11.49,0.07,31.58
GJT,Grand Junction Regional Airport (Walker Field),42429,1.4825,11.82,7.64,8.54,19.71,3.6,13.24,0.1,25.83
GNV,Gainesville Regional Airport,27433,1.4909,7.64,13.47,14.45,19.64,3.46,12.64,0.07,32.64
GPT,Gulfport-Biloxi International Airport,46460,2.2213,12.94,11.35,12.61,17.05,3.92,15.38,0.05,29.18
GRB,Green Bay-Austin Straubel International Airport,50944,3.2487,14.19,10.87,12.34,14.69,2.33,18.37,0.02,31.85
GRI,Central Nebraska Regional Airport,4732,2.3246,1.32,12.5,13.87,29.94,7.62,13.19,0.21,20.39
GRK,Killeen-Fort Hood Regional Airport,31073,3.1732,8.66,11.62,12.32,22.52,4.87,12.26,0.02,31.84
GRR,Gerald R. Ford International Airport,120725,2.0269,33.63,11.78,12.9,17.21,2.98,18.75,0.02,27.05
GSO,Piedmont Triad International Airport,88037,2.9851,24.52,13.74,14.88,17.54,2.56,22.26,0.02,27.38
GSP,Greenville-Spartanburg International Airport,90681,2.2441,25.26,12.3,13.05,16.2,2.09,19.7,0.04,29.08
GST,Gustavus Airport,764,3.7958,0.21,10.1,10.68,5.16,0.54,5.77,6.55,23.09
GTF,Great Falls International Airport,18926,0.7556,5.27,6.95,7.95,23.32,3.25,15.03,0.03,25.89
GTR,Golden Triangle Regional Airport,9386,1.7047,2.61,11.97,13.44,20.91,2.07,13.38,0.14,31.66
GUC,Gunnison-Crested Butte Regional Airport,5843,3.731,1.63,14.22,15.18,17.22,5.63,15.47,0.21,37.0
GUM,Guam International Airport,3197,0.8758,0.89,14.92,13.05,37.75,3.17,7.05,0.39,12.63
HDN,Yampa Valley Airport (Yampa Valley Regional),11388,2.4675,3.17,12.43,13.55,15.87,4.23,17.61,0.03,34.43
HIB,Range Regional Airport (Chisholm-Hibbing Airport),4828,2.6512,1.34,9.22,10.34,24.3,5.54,12.17,0.07,39.97
HLN,Helena Regional Airport,16551,0.7673,4.61,5.37,6.69,24.99,2.43,16.85,0.07,17.86
HNL,Honolulu International Airport,506885,0.4545,141.19,5.97,6.7,27.61,0.67,5.32,0.07,18.4
HOB,Lea County Regional Airport,4623,2.6822,1.29,10.51,10.98,30.65,9.83,24.99,0.0,17.15
HOU,William P. Hobby Airport,553433,1.5852,154.16,13.57,12.29,17.5,2.04,6.71,0.1,23.09
HPN,Westchester County Airport,86925,3.0923,24.21,14.96,16.23,22.02,2.71,17.63,0.11,26.69
HRL,Valley International Airport,39527,1.6166,11.01,8.98,9.15,11.74,2.72,9.62,0.01,34.31
HSV,Huntsville International Airport,75632,2.2649,21.07,10.95,12.09,17.81,3.38,17.12,0.03,27.51
HYA,Barnstable Municipal Airport,463,1.0799,0.13,20.79,19.51,11.08,0.55,46.26,0.23,30.58
HYS,Hays Regional Airport,3217,2.8909,0.9,12.48,13.62,27.05,2.17,12.98,0.0,45.64
IAD,Washington Dulles International Airport,605454,2.162,168.65,13.77,14.53,21.73,3.92,19.02,0.07,21.76
IAG,Niagara Falls International Airport,2094,3.5339,0.58,17.2,17.7,20.22,1.3,27.63,0.04,30.53
IAH,George Bush Intercontinental Airport,1672053,1.2778,465.75,11.66,11.96,18.83,2.98,14.67,0.12,18.51
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),102371,2.0602,28.52,11.53,12.32,17.63,2.87,17.25,0.03,29.13
IDA,Idaho Falls Regional Airport,27116,1.2354,7.55,6.38,7.42,14.4,3.21,13.21,0.01,28.26
ILG,Wilmington Airport,1155,0.9524,0.32,19.2,22.71,16.97,2.2,27.28,0.0,26.32
ILM,Wilmington International Airport,34763,2.1086,9.68,11.28,11.98,20.67,2.69,14.55,0.03,30.35
IMT,Ford Airport,4205,2.3781,1.17,12.3,12.2,22.81,15.48,9.2,0.03,36.6
IND,Indianapolis International Airport,324193,1.5648,90.3,11.11,11.82,15.87,2.64,18.93,0.04,24.44
INL,Falls International Airport,3990,2.1805,1.11,11.11,11.21,31.85,12.21,12.19,0.05,27.03
ISN,Sloulin Field International Airport,12214,2.0468,3.4,12.65,14.31,27.64,5.99,20.09,0.24,24.48
ISP,Long Island MacArthur Airport,61037,1.93,17.0,11.3,10.5,17.95,2.72,10.07,0.11,29.48
ITH,Ithaca Tompkins Regional Airport,5089,2.5152,1.42,13.84,14.71,26.86,5.07,13.03,0.15,31.92
ITO,Hilo International Airport,67398,0.3264,18.77,3.85,4.82,14.05,0.99,3.5,0.04,26.56
JAC,Jackson Hole Airport,35409,1.638,9.86,12.7,13.65,18.86,3.63,18.69,0.01,30.35
JAN,Jackson-Evers International Airport,86913,2.0239,24.21,11.44,12.52,14.7,2.87,14.85,0.06,29.2
JAX,Jacksonville International Airport,243760,1.4379,67.9,11.03,11.42,14.97,2.46,18.11,0.03,26.65
JFK,John F. Kennedy International Airport (New York International Airport),1058511,2.2249,294.85,14.57,15.38,22.12,4.64,19.54,0.18,18.08
JLN,Joplin Regional Airport,4260,3.0516,1.19,13.73,15.89,29.47,8.29,13.96,0.0,22.9
JMS,Jamestown Regional Airport,4321,5.4617,1.2,14.92,15.46,35.14,4.77,8.28,0.06,47.86
JNU,Juneau International Airport,43098,1.5036,12.01,9.32,9.84,17.42,3.57,7.77,0.14,29.17
KOA,Kona International Airport at Keahole,126437,0.5449,35.22,5.93,6.46,18.98,0.84,6.23,0.16,28.95
KTN,Ketchikan International Airport,24088,1.4406,6.71,8.83,9.42,12.58,2.85,6.88,0.22,31.87
LAN,Capital Region International Airport ( Lansing Capital City),24891,3.0292,6.93,11.8,13.2,17.73,2.25,19.6,0.03,30.94
LAR,Laramie Regional Airport,4079,3.8245,1.14,12.02,13.64,32.57,7.52,19.44,0.33,28.25
LAS,McCarran International Airport,1472436,0.7249,410.15,12.13,11.32,16.26,1.03,11.07,0.11,24.74
LAW,Lawton-Fort Sill Regional Airport,9997,4.0612,2.78,11.54,12.6,23.42,7.38,9.36,0.0,34.21
LAX,Los Angeles International Airport,2133445,1.033,594.27,11.48,11.39,17.01,0.79,12.5,0.13,22.41
LBB,Lubbock Preston Smith International Airport,65288,2.0923,18.19,10.43,10.65,14.09,4.41,9.15,0.02,34.39
LBE,Arnold Palmer Regional Airport,4613,2.558,1.28,13.25,13.68,10.23,1.84,30.12,0.04,31.76
LCH,Lake Charles Regional Airport,15545,2.4124,4.33,9.46,10.25,24.48,6.61,16.67,0.05,28.81
LEX,Blue Grass Airport,73149,2.5633,20.38,12.78,14.18,18.83,2.88,20.29,0.04,27.76
LFT,Lafayette Regional Airport,49977,2.5792,13.92,11.8,13.08,16.45,5.36,14.73,0.12,30.87
LGA,LaGuardia Airport (Marine Air Terminal),1080902,3.8354,301.09,14.06,15.02,15.36,2.78,17.7,0.06,28.89
LGB,Long Beach Airport (Daugherty Field),135945,0.7518,37.87,9.88,10.19,19.51,0.97,14.01,0.05,23.6
LIH,Lihue Airport,121449,0.5871,33.83,5.6,6.44,17.9,0.87,5.56,0.08,30.25
LIT,Bill and Hillary Clinton National Airport (Adams Field),140200,1.9536,39.05,12.02,12.85,14.95,2.88,15.33,0.04,29.12
LNK,Lincoln Airport (Lincoln Municipal),27454,2.3275,7.65,12.39,13.65,17.88,3.11,20.83,0.04,31.92
LRD,Laredo International Airport,23861,2.4433,6.65,10.86,11.8,21.16,4.2,16.26,0.02,30.78
LSE,La Crosse Regional Airport,16086,2.7664,4.48,10.25,11.82,19.92,3.66,17.63,0.1,28.68
LWS,Lewiston-Nez Perce County Airport,6832,0.5416,1.9,3.94,4.36,21.59,5.27,8.44,0.37,28.24
MAF,Midland International Airport,76680,2.0123,21.36,10.51,10.87,13.84,3.37,10.24,0.09,34.51
MBS,MBS International Airport,23469,3.0679,6.54,11.68,12.78,16.67,3.21,19.6,0.0,33.83
MCI,Kansas City International Airport,481285,1.3327,134.06,10.77,10.73,14.9,2.33,13.93,0.1,26.9
MCO,Orlando International Airport,1227400,1.0125,341.89,12.99,12.76,17.48,3.36,15.99,0.12,24.7
MDT,Harrisburg International Airport,50261,2.29,14.0,11.67,12.52,21.66,3.53,17.98,0.04,27.4
MDW,Chicago Midway International Airport,870692,1.5581,242.53,14.31,12.72,17.36,2.55,8.81,0.05,21.97
MEI,Meridian Regional Airport,6844,1.9433,1.91,18.95,20.63,23.56,2.67,13.67,0.12,46.59
MEM,Memphis International Airport,349992,1.8072,97.49,10.02,10.73,19.99,2.76,15.66,0.03,21.76
MFE,McAllen-Miller International Airport (McAllen Miller International),36989,2.2142,10.3,10.82,11.27,21.11,4.52,13.03,0.01,34.24
MFR,Rogue Valley International Airport,36286,2.822,10.11,16.51,16.96,13.27,1.36,29.36,0.02,32.81
MGM,Montgomery Regional Airport,36169,2.01,10.07,13.1,14.46,19.33,3.15,14.88,0.03,29.61
MHK,Manhattan Regional Airport,12638,2.7773,3.52,12.61,14.23,25.67,5.4,16.09,0.04,26.08
MHT,Manchester-Boston Regional Airport,95535,2.039,26.61,10.29,10.44,15.29,3.32,20.16,0.07,22.69
MIA,Miami International Airport,753511,1.2775,209.89,13.69,14.17,21.96,4.09,14.76,0.07,17.05
MKE,General Mitchell International Airport,367575,1.5956,102.39,11.18,12.1,15.08,2.36,18.34,0.02,24.82
MKG,Muskegon County Airport,6438,6.2131,1.79,13.96,15.57,6.46,0.78,21.13,0.0,42.55
MLB,Melbourne International Airport,16504,1.1028,4.6,11.16,12.22,17.51,2.56,18.53,0.05,29.32
MLI,Quad City International Airport,50349,2.5442,14.02,12.44,13.67,17.57,2.55,16.76,0.03,29.8
MLU,Monroe Regional Airport,28227,2.3949,7.86,12.88,14.02,24.63,3.78,13.03,0.16,31.95
MMH,Mammoth Yosemite Airport,1683,15.8645,0.47,19.35,20.49,10.31,0.33,24.62,0.1,29.46
MOB,Mobile Regional Airport,57346,2.2338,15.97,12.06,13.4,17.79,2.85,14.99,0.02,31.25
MOT,Minot International Airport,18761,2.1374,5.23,11.43,12.78,24.96,4.21,14.51,0.26,26.17
MQT,Sawyer International Airport,7671,2.7637,2.14,15.0,15.95,38.02,7.93,20.91,0.05,18.51
MRY,Monterey Regional Airport (Monterey Peninsula Airport),45545,3.6491,12.69,12.72,13.91,10.83,1.33,18.84,0.03,36.97
MSN,Dane County Regional Airport,102679,2.4981,28.6,11.79,12.77,16.5,2.72,19.09,0.02,30.93
MSO,Missoula International Airport,30102,0.9933,8.38,8.57,9.34,17.17,2.79,15.06,0.0,26.98
MSP,Minneapolis-Saint Paul International Airport,1258951,1.0061,350.68,9.72,10.58,19.71,3.35,17.07,0.03,16.04
MSY,Louis Armstrong New Orleans International Airport,422941,1.0912,117.81,11.02,11.01,13.31,2.18,14.82,0.06,27.18
MTJ,Montrose Regional Airport,15400,2.3571,4.29,12.32,12.96,13.6,4.04,14.24,0.11,33.04
MVY,Martha's Vineyard Airport,1794,1.8952,0.5,26.08,25.8,15.14,3.2,37.33,0.47,26.78
MYR,Myrtle Beach International Airport,50480,2.3693,14.06,12.88,13.3,12.9,2.1,25.65,0.06,27.24
OAJ,Albert J. Ellis Airport,16170,2.3933,4.5,13.95,14.83,22.35,2.59,12.25,0.01,35.98
OAK,Oakland International Airport,473716,1.1703,131.95,10.13,9.32,14.56,0.78,6.37,0.1,22.65
OGG,Kahului Airport,225731,0.5489,62.88,6.47,7.08,20.86,0.78,5.45,0.08,26.51
OKC,Will Rogers World Airport,202299,1.5685,56.35,10.62,11.01,15.09,3.43,12.83,0.16,29.2
OMA,Eppley Airfield,214008,1.5537,59.61,10.54,11.14,16.62,2.58,16.64,0.04,26.17
OME,Nome Airport,8892,3.8799,2.48,8.97,9.46,7.76,2.58,4.97,1.65,29.97
ONT,Ontario International Airport,219066,0.9819,61.02,9.69,9.31,13.05,1.04,11.48,0.11,28.62
ORD,Chicago O'Hare International Airport,3001285,2.6194,836.01,14.99,15.74,18.37,4.28,14.68,0.03,23.35
ORF,Norfolk International Airport,144062,2.4052,40.13,12.57,12.89,18.99,2.89,18.07,0.09,27.47
ORH,Worcester Regional Airport,3969,4.5855,1.11,16.99,17.7,18.95,0.92,14.09,0.14,34.19
OTH,Southwest Oregon Regional Airport (North Bend Municipal),6964,3.7766,1.94,28.62,29.07,4.57,0.69,29.08,0.08,43.11
OTZ,Ralph Wien Memorial Airport,8835,3.6106,2.46,9.45,9.3,7.74,5.46,4.94,0.94,28.0
PAH,Barkley Regional Airport,6377,4.4849,1.78,12.6,14.76,12.81,3.01,31.4,0.04,29.82
PBG,Plattsburgh International Airport,2079,1.2987,0.58,17.61,18.2,22.04,0.62,23.85,0.04,31.45
PBI,Palm Beach International Airport,242554,1.4817,67.56,14.05,14.02,14.99,1.37,21.37,0.07,26.63
PDX,Portland International Airport,554122,0.5919,154.35,8.16,8.41,16.04,1.16,14.85,0.05,21.23
PHF,Newport News/Williamsburg International Airport,29537,1.967,8.23,12.14,13.39,13.97,2.0,18.66,0.01,29.78
PHL,Philadelphia International Airport,835271,1.8878,232.67,12.52,13.9,17.04,2.3,18.35,0.12,22.05
PHX,Phoenix Sky Harbor International Airport,1720614,0.659,479.28,9.72,9.5,18.06,0.83,10.42,0.2,18.66
