IATA_CODE,AIRPORT,TotalFlights,CancellationRate,AverageFlightsPerDay,AverageDelay,AverageArrDelay,AverageDelay_CARRIER_DELAY,AverageDelay_WEATHER_DELAY,AverageDelay_NAS_DELAY,AverageDelay_SECURITY_DELAY,AverageDelay_LATE_AIRCRAFT_DELAY
ABE,Lehigh Valley International Airport,30818,2.6283,8.58,12.57,13.56,23.43,3.32,18.37,0.02,26.65
ABI,Abilene Regional Airport,20242,3.0086,5.64,10.83,11.68,26.64,11.39,10.39,0.06,20.09
ABQ,Albuquerque International Sunport,269861,0.8438,75.17,10.39,9.97,14.91,1.68,8.85,0.09,28.54
ABR,Aberdeen Regional Airport,5072,1.6759,1.41,9.44,10.34,33.09,7.56,11.44,0.2,26.19
ABY,Southwest Georgia Regional Airport,9669,1.4686,2.69,12.73,14.12,23.16,4.43,13.0,0.16,31.5
ACK,Nantucket Memorial Airport,4797,2.1889,1.34,21.74,22.69,16.98,4.6,29.63,0.78,34.1
ACT,Waco Regional Airport,11691,3.9432,3.26,11.08,11.65,19.65,3.67,9.19,0.04,34.57
ACV,Arcata Airport,25292,5.6619,7.05,21.62,22.3,7.77,1.18,26.44,0.08,42.46
ACY,Atlantic City International Airport,16902,1.9761,4.71,12.85,14.01,14.5,1.5,34.31,0.19,20.93
ADK,Adak Airport,1040,5.6731,0.29,13.78,13.57,5.12,2.23,5.2,16.37,14.98
ADQ,Kodiak Airport,6129,7.1137,1.71,8.01,8.65,15.97,3.2,5.03,1.94,31.78
AEX,Alexandria International Airport,32543,2.3507,9.06,12.74,13.81,21.84,5.56,14.18,0.13,31.6
AGS,Augusta Regional Airport (Bush Field),31449,1.7266,8.76,13.99,15.3,18.29,2.31,16.99,0.02,28.71
AKN,King Salmon Airport,709,0.2821,0.2,7.88,8.36,13.1,0.0,4.36,6.96,10.69
ALB,Albany International Airport,101076,1.7611,28.15,10.56,11.01,16.6,3.07,16.46,0.04,24.72
ALO,Waterloo Regional Airport,4128,4.8207,1.15,12.69,14.52,24.71,3.97,19.84,0.08,22.11
AMA,Rick Husband Amarillo International Airport,58619,2.2945,16.33,11.01,11.67,13.53,3.91,11.27,0.08,33.37
ANC,Ted Stevens Anchorage International Airport,177173,0.9437,49.35,6.36,7.02,19.81,2.18,10.03,0.14,16.65
APN,Alpena County Regional Airport,3969,2.9227,1.11,13.45,12.66,26.95,8.52,7.74,0.73,44.15
ASE,Aspen-Pitkin County Airport,47755,7.0464,13.3,17.45,18.25,15.82,6.38,16.1,0.08,36.0
ATL,Hartsfield-Jackson Atlanta International Airport,3903244,1.1345,1087.25,11.48,11.26,21.25,3.7,12.09,0.03,19.11
