Airline,Name,TotalFlights,CancellationRate,AverageFlightsPerDay,AverageDelay,AverageArrDelay,AverageDelay_CARRIER_DELAY,AverageDelay_WEATHER_DELAY,AverageDelay_NAS_DELAY,AverageDelay_SECURITY_DELAY,AverageDelay_LATE_AIRCRAFT_DELAY
9E,Pinnacle Airlines Inc.,1066251,2.4194,297.01,10.81,11.77,19.58,3.35,16.76,0.05,21.71
AA,American Airlines Inc.,6682161,1.6245,1861.33,12.32,12.98,19.95,3.36,14.55,0.09,21.57
AS,Alaska Airlines Inc.,1660539,0.6502,462.55,6.61,7.7,14.39,1.7,15.55,0.21,15.84
B6,JetBlue Airways,2483969,1.7676,691.91,15.83,16.34,19.82,1.72,17.4,0.14,25.15
CO,Continental Air Lines Inc.,740498,0.8294,206.27,11.04,11.72,14.47,2.49,22.35,0.25,12.36
DL,Delta Air Lines Inc.,7841880,0.8029,2184.37,9.96,10.09,22.11,3.77,16.34,0.04,17.79
EV,Atlantic Southeast Airlines,4726445,2.8995,1316.56,15.42,15.94,22.33,2.03,15.38,0.02,27.7
F9,Frontier Airlines Inc.,903218,0.7908,251.59,14.69,15.51,14.35,0.91,18.47,0.0,27.01
FL,AirTran Airways Corporation,1218389,0.9629,339.38,9.4,10.49,10.14,0.84,16.37,0.0,27.01
G4,Allegiant Air,96221,0.7992,26.8,17.08,17.55,27.42,4.18,10.52,0.17,31.46
HA,Hawaiian Airlines Inc.,744991,0.1895,207.52,3.94,5.05,28.31,1.13,0.8,0.09,12.99
MQ,American Eagle Airlines Inc.,3216260,3.5349,895.89,12.04,13.58,16.19,5.21,15.3,0.04,21.67
NK,Spirit Air Lines,588574,1.9557,163.95,15.51,16.09,12.86,1.49,34.71,0.16,18.21
NW,Northwest Airlines Inc.,292400,0.6016,81.45,8.72,10.71,18.74,3.49,15.0,0.07,11.33
OH,Comair Inc.,577060,3.9204,160.74,13.9,15.57,20.52,6.93,16.09,0.06,16.97
OO,Skywest Airlines Inc.,6263052,1.8273,1744.58,11.68,12.63,18.07,2.56,13.71,0.07,28.46
UA,United Air Lines Inc.,4826658,1.2148,1344.47,13.49,12.9,17.77,2.58,17.87,0.03,24.86
US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),2657286,1.3815,740.19,7.52,9.38,15.16,1.54,17.47,0.16,13.63
VX,Virgin America,389060,0.9125,108.37,13.2,13.97,10.52,3.09,26.41,0.23,21.27
WN,Southwest Airlines Co.,12096540,1.1043,3369.51,12.16,10.85,14.02,1.88,7.21,0.1,26.05
XE,Expressjet Airlines Inc.,1105864,2.4953,308.04,11.99,13.73,15.57,2.15,20.19,0.11,22.52
YV,Mesa Airlines Inc.,1063558,2.1381,296.26,10.94,11.95,24.43,4.1,11.64,0.14,21.94
YX,"Midwest Airline, Inc.",316090,3.1953,88.05,11.58,12.82,14.16,3.19,22.74,0.04,23.74
