IATA_CODE,NumFlights,AverageDelay,AverageDelay_CARRIER_DELAY,AverageDelay_WEATHER_DELAY,AverageDelay_NAS_DELAY,AverageDelay_SECURITY_DELAY,AverageDelay_LATE_AIRCRAFT_DELAY,Year,Month
ABE,360,11.44,13.61,4.15,25.65,0.0,14.72,2009,01
ABE,323,8.65,12.27,2.25,21.66,0.0,24.84,2009,02
ABE,345,9.41,14.48,2.35,25.79,0.0,20.58,2009,03
ABE,329,10.06,15.93,1.75,29.27,0.0,29.61,2009,04
ABE,326,8.58,23.83,0.46,18.88,0.0,18.92,2009,05
ABE,352,11.47,22.0,1.66,28.53,0.0,21.37,2009,06
ABE,379,10.54,19.26,0.45,18.21,0.0,19.18,2009,07
ABE,365,11.71,16.45,2.73,21.75,0.0,18.16,2009,08
ABE,624,8.44,16.31,7.31,16.0,0.0,14.27,2009,09
ABE,311,6.32,31.5,2.57,11.75,0.0,12.5,2009,11
ABE,320,16.57,20.69,1.41,31.03,0.0,7.19,2009,12
ABI,212,19.5,22.1,87.03,4.23,0.0,13.67,2009,01
ABI,192,6.84,40.1,0.0,2.9,0.0,17.3,2009,02
ABI,213,5.86,7.38,11.43,13.52,0.0,30.38,2009,03
ABI,206,11.79,13.55,13.5,16.61,0.0,23.39,2009,04
ABI,212,16.04,43.63,8.26,6.51,0.0,17.12,2009,05
ABI,206,14.74,36.2,21.77,6.91,0.46,14.66,2009,06
ABI,213,12.43,28.78,3.78,10.07,0.0,23.0,2009,07
ABI,212,7.0,23.38,0.0,10.58,0.0,22.17,2009,08
ABI,410,11.42,47.7,0.07,3.63,0.0,19.07,2009,09
ABI,204,8.8,38.71,1.19,29.1,0.0,13.05,2009,11
ABI,210,15.94,29.31,4.24,7.17,0.0,17.46,2009,12
ABQ,3059,7.75,10.77,0.65,6.03,0.0,31.16,2009,01
ABQ,2749,5.69,12.9,0.7,7.68,0.0,23.11,2009,02
ABQ,3077,8.17,12.8,1.36,10.7,0.07,25.29,2009,03
ABQ,3001,8.35,12.45,1.42,15.5,0.04,32.28,2009,04
ABQ,3101,6.9,11.49,0.8,9.46,0.01,25.92,2009,05
ABQ,3095,10.6,9.32,2.53,8.35,0.0,34.43,2009,06
ABQ,3175,9.34,9.21,1.73,7.95,0.01,28.7,2009,07
ABQ,3126,8.14,14.73,0.8,8.79,0.02,26.42,2009,08
ABQ,5666,5.27,17.13,1.46,9.73,0.0,18.62,2009,09
ABQ,2688,4.12,20.13,0.49,5.46,0.0,21.32,2009,11
ABQ,2845,11.31,10.31,0.83,8.79,0.0,26.4,2009,12
ABY,77,5.47,6.67,0.0,9.33,0.0,25.67,2009,01
ABY,76,3.84,11.56,0.0,20.67,0.0,12.67,2009,02
ABY,89,18.37,5.43,0.0,21.82,0.0,37.32,2009,03
ABY,86,12.57,59.22,2.44,25.67,0.0,29.0,2009,04
ABY,86,18.66,15.67,5.07,12.07,0.0,29.96,2009,05
ABY,86,6.95,8.7,1.6,25.4,0.0,18.0,2009,06
ABY,89,17.77,5.62,0.0,34.76,0.0,38.43,2009,07
ABY,86,9.04,18.87,4.2,15.8,0.0,18.2,2009,08
ABY,156,8.42,6.95,0.15,26.15,0.05,12.95,2009,09
ABY,81,9.36,15.17,0.0,20.7,0.0,8.57,2009,11
ABY,83,16.06,20.38,1.62,23.14,0.0,26.0,2009,12
ACK,10,5.5,1.0,0.0,59.67,0.0,0.0,2009,05
ACK,79,23.56,19.12,18.69,35.77,0.0,13.42,2009,06
ACK,101,21.93,21.61,1.86,41.46,0.0,22.93,2009,07
ACK,104,24.85,24.52,1.67,27.3,1.33,19.85,2009,08
ACK,48,2.71,19.67,0.0,14.67,0.0,0.0,2009,09
ACT,124,14.75,22.0,0.24,30.57,0.0,27.38,2009,01
ACT,112,6.97,51.9,0.0,4.9,0.0,11.6,2009,02
ACT,124,10.68,14.63,5.84,6.32,0.0,34.11,2009,03
ACT,120,11.08,3.21,2.62,17.17,0.0,24.42,2009,04
ACT,148,13.46,12.7,9.96,7.78,0.0,36.63,2009,05
ACT,150,9.8,21.05,0.29,2.86,0.0,32.33,2009,06
ACT,154,12.32,26.5,1.33,9.89,0.0,50.28,2009,07
ACT,121,8.32,6.06,1.18,6.94,0.0,32.0,2009,08
ACV,291,16.53,6.2,0.0,29.89,0.0,34.1,2009,01
ACV,269,19.03,3.97,0.0,47.84,0.0,25.32,2009,02
ACV,301,11.83,7.63,0.0,26.49,0.0,25.97,2009,03
ACV,296,7.42,2.88,1.16,20.59,0.0,36.78,2009,04
ACV,297,15.61,8.32,0.04,33.25,0.0,41.7,2009,05
ACV,302,14.68,1.66,0.0,36.56,0.0,30.81,2009,06
ACV,299,17.23,6.21,1.93,22.88,0.0,34.22,2009,07
ACV,295,19.23,2.49,0.69,28.12,4.22,35.97,2009,08
ACV,498,10.58,1.73,0.0,27.56,0.0,29.05,2009,09
ACV,255,8.26,23.74,0.0,42.78,0.0,15.09,2009,11
ACV,267,19.3,5.17,1.07,43.21,0.0,28.26,2009,12
ACY,49,12.06,0.85,0.0,19.75,0.0,24.0,2009,06
ACY,74,19.86,2.54,0.0,35.22,0.0,18.56,2009,07
ACY,77,9.78,1.44,5.94,18.39,0.0,23.5,2009,08
ACY,144,13.38,29.8,0.0,33.8,0.0,32.07,2009,09
ACY,87,3.66,0.0,0.0,26.94,0.0,17.59,2009,11
ACY,91,4.3,1.78,1.13,31.43,0.0,8.13,2009,12
ADK,9,15.0,0.0,0.0,0.0,0.0,82.0,2009,01
ADK,8,11.83,,,,,,2009,02
ADK,9,23.71,0.0,0.0,0.0,0.0,29.0,2009,03
ADK,9,17.56,36.0,0.0,0.0,0.0,28.5,2009,04
ADK,9,10.0,0.0,0.0,0.0,0.0,89.0,2009,05
ADK,8,3.25,0.0,0.0,16.0,0.0,0.0,2009,06
ADK,9,15.56,0.0,14.5,0.0,0.0,49.0,2009,07
ADK,9,14.11,4.67,0.0,4.0,0.0,25.67,2009,08
ADK,16,13.88,0.0,0.0,0.0,0.0,94.0,2009,09
ADK,8,9.43,0.0,0.0,17.0,0.0,39.0,2009,11
ADK,9,42.83,7.67,0.0,7.0,0.0,77.67,2009,12
ADQ,57,8.56,0.29,0.0,3.29,0.0,41.29,2009,01
ADQ,43,10.79,64.4,3.0,0.8,0.0,8.0,2009,02
ADQ,46,43.87,1.64,8.0,6.14,0.0,83.64,2009,03
ADQ,42,8.0,10.67,0.0,0.17,0.0,26.67,2009,04
ADQ,52,5.22,17.33,0.0,0.5,2.33,7.33,2009,05
ADQ,56,13.57,65.5,0.0,0.33,0.0,35.33,2009,06
ADQ,58,14.67,53.86,0.0,2.43,0.0,31.29,2009,07
ADQ,57,16.75,9.29,1.21,7.5,3.21,31.57,2009,08
ADQ,112,28.11,57.73,1.07,0.67,3.53,13.27,2009,09
ADQ,53,13.06,10.55,26.64,0.91,0.0,10.55,2009,11
ADQ,55,11.92,12.4,4.8,0.9,0.0,23.7,2009,12
AEX,165,11.58,2.7,10.73,15.15,0.0,33.18,2009,01
AEX,155,4.4,2.58,0.0,27.46,0.0,13.0,2009,02
AEX,184,13.53,13.24,7.1,23.56,0.0,27.59,2009,03
AEX,197,15.79,8.88,9.79,21.75,0.0,25.36,2009,04
AEX,226,13.87,20.94,9.73,19.63,0.15,17.56,2009,05
AEX,254,6.44,4.77,1.68,13.74,0.03,34.61,2009,06
AEX,270,10.78,16.15,0.53,16.98,0.0,27.94,2009,07
AEX,263,10.09,11.69,3.03,16.51,0.0,31.36,2009,08
AEX,558,13.11,16.53,4.97,14.67,0.17,24.28,2009,09
AEX,339,5.6,10.31,2.82,21.21,0.15,17.46,2009,11
AEX,336,20.94,11.46,8.64,14.38,2.21,35.41,2009,12
AGS,211,14.58,12.82,3.16,20.61,0.1,21.93,2009,01
AGS,201,9.28,8.47,5.67,30.19,0.0,19.36,2009,02
AGS,251,20.87,19.81,0.74,32.76,0.0,30.09,2009,03
AGS,262,11.22,2.05,4.97,22.14,0.0,14.67,2009,04
AGS,277,17.67,8.46,1.5,28.0,0.0,16.04,2009,05
AGS,274,20.16,11.02,2.23,25.77,0.0,26.23,2009,06
AGS,290,22.0,12.9,3.26,24.21,0.0,24.02,2009,07
AGS,285,17.08,5.07,2.79,28.03,0.0,20.63,2009,08
AGS,540,12.66,5.59,1.07,31.71,0.0,10.98,2009,09
AGS,265,10.54,7.56,0.21,31.01,0.0,10.16,2009,11
AGS,251,14.79,6.78,3.85,28.67,0.0,20.18,2009,12
AKN,24,20.5,16.42,0.0,1.83,1.42,15.08,2009,06
AKN,31,32.52,47.12,0.0,0.5,0.0,4.38,2009,07
AKN,22,8.64,7.67,0.0,0.0,0.0,33.33,2009,08
ALB,934,10.39,10.45,2.95,22.7,0.0,13.62,2009,01
ALB,822,5.66,5.74,1.06,18.56,0.0,19.52,2009,02
ALB,927,8.95,11.07,4.68,15.45,0.0,25.97,2009,03
ALB,975,8.91,10.03,0.78,19.06,0.0,26.74,2009,04
ALB,1029,7.41,8.12,3.52,18.48,0.0,14.38,2009,05
ALB,1117,12.68,17.56,5.96,18.86,0.0,21.29,2009,06
ALB,1158,12.25,14.22,4.54,22.28,0.0,19.44,2009,07
ALB,1154,12.86,11.88,3.43,21.99,0.0,21.74,2009,08
ALB,1998,5.83,16.31,0.0,15.13,0.0,16.44,2009,09
ALB,934,6.05,14.65,0.0,15.42,0.0,20.79,2009,11
ALB,970,15.49,20.85,2.71,22.51,0.05,19.25,2009,12
ALO,27,20.95,51.86,0.0,7.29,0.0,0.0,2009,01
ALO,24,26.71,305.5,0.0,10.0,0.0,0.0,2009,02
ALO,26,0.0,,,,,,2009,03
ALO,26,1.92,30.0,0.0,0.0,0.0,0.0,2009,04
ALO,31,0.33,0.0,0.0,16.0,0.0,0.0,2009,05
ALO,30,4.55,39.33,0.0,3.33,0.0,0.0,2009,06
ALO,31,6.93,82.0,0.0,9.5,0.0,0.0,2009,07
ALO,17,10.85,66.5,0.0,2.0,0.0,0.0,2009,08
ALO,58,0.0,,,,,,2009,09
ALO,29,1.28,7.5,0.0,8.0,0.0,0.0,2009,11
ALO,31,3.96,14.33,1.17,15.0,0.0,0.0,2009,12
AMA,569,6.13,3.6,20.76,9.34,0.0,18.1,2009,01
AMA,519,3.62,9.17,1.92,4.33,0.0,23.42,2009,02
AMA,565,8.97,2.98,0.72,6.86,0.0,39.98,2009,03
AMA,586,14.87,4.84,9.55,7.87,0.0,41.28,2009,04
AMA,600,12.23,6.55,6.72,6.94,0.2,41.55,2009,05
AMA,598,12.04,4.86,7.21,10.32,0.0,38.99,2009,06
AMA,618,12.45,4.29,11.02,6.74,0.0,35.35,2009,07
AMA,590,12.82,21.12,6.33,6.47,2.96,35.1,2009,08
AMA,962,5.09,2.9,2.96,10.98,0.0,27.27,2009,09
AMA,499,4.91,4.42,1.73,8.31,0.06,35.08,2009,11
AMA,543,12.57,4.75,3.47,7.86,0.02,35.79,2009,12
ANC,1205,16.77,21.28,3.86,8.36,0.04,20.88,2009,01
ANC,1125,7.11,10.9,3.96,12.99,0.0,10.79,2009,02
ANC,1273,19.74,14.4,8.65,8.86,0.03,29.62,2009,03
ANC,1231,6.27,13.93,1.07,7.78,0.0,16.91,2009,04
ANC,1503,4.92,16.95,0.42,10.07,0.0,9.13,2009,05
ANC,1922,5.83,15.79,0.98,9.91,0.06,13.73,2009,06
ANC,2055,6.05,17.38,2.92,6.95,0.16,18.24,2009,07
ANC,1973,7.65,17.55,4.9,8.42,0.19,14.42,2009,08
ANC,3018,4.25,12.04,0.17,15.76,0.0,6.43,2009,09
ANC,1212,5.84,16.19,4.6,12.72,0.0,6.55,2009,11
ANC,1274,8.27,14.16,2.27,15.56,0.0,11.11,2009,12
ASE,597,15.98,6.88,2.54,10.59,0.0,34.4,2009,01
ASE,562,15.74,14.49,4.65,12.46,0.0,29.33,2009,02
ASE,617,20.33,9.37,22.83,17.08,0.0,31.08,2009,03
ASE,260,17.94,11.0,25.12,14.14,0.0,20.94,2009,04
ASE,221,6.61,8.84,6.72,35.12,0.0,0.0,2009,05
ASE,384,17.89,16.41,4.14,44.09,0.18,4.94,2009,06
ASE,403,10.62,19.11,6.47,19.8,0.0,5.61,2009,07
ASE,422,16.21,36.82,4.71,16.35,0.0,8.74,2009,08
ASE,582,10.27,14.4,17.21,8.37,0.0,3.94,2009,09
ASE,201,4.01,31.92,18.58,2.0,0.0,0.0,2009,11
ASE,452,25.09,13.2,7.25,22.96,0.0,34.43,2009,12
ATL,33354,10.55,14.84,1.73,13.87,0.01,14.92,2009,01
ATL,30775,8.72,14.39,1.44,16.25,0.01,14.18,2009,02
ATL,35662,17.3,13.55,3.21,14.18,0.01,24.87,2009,03
ATL,34386,16.38,15.82,5.49,16.46,0.0,24.11,2009,04
ATL,35131,11.59,12.75,1.5,13.38,0.01,18.15,2009,05
ATL,36354,14.36,17.95,2.09,15.66,0.02,19.75,2009,06
ATL,38259,17.13,15.28,2.77,14.67,0.02,26.77,2009,07
ATL,37476,13.9,16.22,1.53,12.7,0.01,21.45,2009,08
ATL,68022,11.42,16.22,2.85,11.38,0.03,23.04,2009,09
